STUDY_ID	SAMPLE_ID	AURKA	TP53	KRAS	EGFR
luad_cptac_2020	C3N-01799	NA	-0.7810865	-0.31823537	-1.1129234
luad_cptac_2020	C3L-01890	NA	-0.7235022	0.47890395	-0.66095024
luad_cptac_2020	C3N-00572	NA	3.0710719	0.70664406	-0.029072529
luad_cptac_2020	C3N-02423	NA	-0.3972145	0.45374036	0.45765382
luad_cptac_2020	C3N-02729	NA	NA	-0.06611189	0.40606555
luad_cptac_2020	C3L-00263	NA	NA	-3.1045654	-0.7990606
luad_cptac_2020	C3N-01410	NA	NA	0.30295393	-0.2065399
luad_cptac_2020	C3N-00578	NA	NA	0.68762505	1.985489
luad_cptac_2020	C3N-02587	NA	-0.68141073	0.23292507	0.09445957
luad_cptac_2020	C3L-00893	NA	-0.67295057	0.08428439	-0.23028043
luad_cptac_2020	C3N-01488	NA	-0.7853688	0.09559825	0.49060172
luad_cptac_2020	C3N-01413	NA	0.58269316	-1.3071251	-0.19403775
luad_cptac_2020	C3N-01030	NA	0.74991035	0.20629849	0.13918748
luad_cptac_2020	C3N-02588	NA	0.7168359	-0.5677254	-0.16483596
luad_cptac_2020	C3N-00552	NA	0.31722748	0.46134797	0.6394992
luad_cptac_2020	C3L-01889	NA	0.113315076	-0.49155197	-0.22432274
luad_cptac_2020	C3N-00169	NA	NA	-1.0260342	0.87848437
luad_cptac_2020	C3L-00422	NA	NA	-0.41313523	0.053838857
luad_cptac_2020	C3L-00083	NA	NA	-0.13282463	-1.1561166
luad_cptac_2020	C3N-00551	NA	NA	-0.2001226	0.34626284
luad_cptac_2020	C3N-01842	NA	NA	0.426236	-0.56382155
luad_cptac_2020	C3N-02089	NA	0.6995328	0.3529885	-0.4049946
luad_cptac_2020	C3L-01682	NA	0.0055969553	-2.466503	-0.40052634
luad_cptac_2020	C3N-01016	NA	-0.47840345	-0.97980344	-0.5401262
luad_cptac_2020	C3N-00580	NA	0.9251351	1.0356238	0.39870867
luad_cptac_2020	X11LU013	NA	1.187885	1.0283087	2.464001
luad_cptac_2020	C3N-02000	NA	1.6023597	-0.78142077	0.82030654
luad_cptac_2020	C3N-01489	NA	0.09872752	0.53108424	-0.7825416
luad_cptac_2020	C3N-00737	NA	1.5132328	-0.11185499	-0.9106773
luad_cptac_2020	C3N-01405	NA	-1.1293775	-0.09732254	-0.019052746
luad_cptac_2020	C3N-01416	NA	NA	-1.7123756	0.79859704
luad_cptac_2020	C3N-02149	NA	NA	-1.5951407	-0.90936834
luad_cptac_2020	C3N-02424	NA	NA	-0.61317587	-0.26864445
luad_cptac_2020	C3L-00279	NA	NA	0.6504649	0.09387282
luad_cptac_2020	C3N-02379	NA	-1.6575235	-0.12199845	1.4387343
luad_cptac_2020	C3L-00095	NA	0.89578587	-0.71880436	-1.1717331
luad_cptac_2020	C3N-02572	NA	1.3219583	-0.19310018	0.89098656
luad_cptac_2020	C3N-00559	NA	2.3914802	0.4157024	1.7144134
luad_cptac_2020	X11LU016	NA	0.37376732	-0.77947015	0.4069231
luad_cptac_2020	C3L-02345	NA	-0.61184996	0.27379152	-1.0726637
luad_cptac_2020	C3L-00093	NA	-0.200474	-0.78054297	-0.7643976
luad_cptac_2020	C3L-00510	NA	1.173959	0.1391956	-1.6358924
luad_cptac_2020	C3L-00913	NA	-0.75995374	-0.62731826	-0.62750584
luad_cptac_2020	X11LU022	NA	-0.19695766	2.315065	0.6001874
luad_cptac_2020	C3L-00412	NA	-0.3095151	-2.581007	-1.8124119
luad_cptac_2020	C3N-01415	NA	0.8856199	-0.12921591	2.066956
luad_cptac_2020	C3N-00549	NA	0.500773	-0.29160878	-0.88134015
luad_cptac_2020	C3N-02433	NA	-0.9709336	-0.06864774	-0.585847
luad_cptac_2020	C3N-01021	NA	-0.848419	0.6919165	-0.09799232
luad_cptac_2020	C3N-00203	NA	0.26256767	0.82924336	-0.1561702
luad_cptac_2020	C3L-01330	NA	-1.6873252	0.30675775	0.19190414
luad_cptac_2020	C3N-00574	NA	-2.1136715	-0.7960507	2.3302233
luad_cptac_2020	X11LU035	NA	0.92649287	-0.5904507	-0.8192807
luad_cptac_2020	C3N-01071	NA	NA	0.50806636	-0.9030496
luad_cptac_2020	C3N-00550	NA	NA	0.8162715	-0.0022177228
luad_cptac_2020	C3N-00167	NA	NA	-1.4225068	-0.057958357
luad_cptac_2020	C3L-00001	NA	NA	0.83080393	3.5578263
luad_cptac_2020	C3N-01074	NA	NA	1.9261024	-0.47233474
luad_cptac_2020	C3L-01632	NA	NA	0.8582108	-1.0056847
luad_cptac_2020	C3N-02155	NA	NA	-0.18607779	1.8374039
luad_cptac_2020	C3N-00217	NA	NA	0.06194927	-1.1043026
luad_cptac_2020	C3N-02002	NA	NA	0.46456656	0.22480692
luad_cptac_2020	C3N-02145	NA	-1.0793133	0.12037169	0.5119502
luad_cptac_2020	C3N-02586	NA	1.5318589	-0.64536184	2.2592726
luad_cptac_2020	C3L-02219	NA	-0.89531505	0.259064	0.7118041
luad_cptac_2020	C3N-00180	NA	0.96315324	1.0884868	0.052349433
luad_cptac_2020	C3L-01862	NA	-0.48982283	-1.0642672	-1.0741981
luad_cptac_2020	C3N-00704	NA	0.6086304	0.8862028	0.61846673
luad_cptac_2020	C3N-02158	NA	-0.7151466	0.36615548	-0.60674417
luad_cptac_2020	C3N-02421	NA	-0.901164	0.10174284	1.8685013
luad_cptac_2020	C3N-00556	NA	-1.4945188	1.7303531	0.285738
luad_cptac_2020	C3N-00294	NA	-0.9296776	1.0077292	0.7758043
luad_cptac_2020	C3N-01072	NA	-0.4165021	0.50114155	0.24444026
luad_cptac_2020	C3L-00094	NA	0.2520187	0.70186496	-0.9182598
luad_cptac_2020	C3L-00144	NA	0.58244944	0.16231099	-0.09857909
luad_cptac_2020	C3N-00223	NA	-0.24764855	0.5814114	0.04296153
luad_cptac_2020	C3N-02380	NA	0.4104973	-0.04689785	0.203639
luad_cptac_2020	C3L-01924	NA	NA	0.36283937	0.6047008
luad_cptac_2020	C3N-00433	NA	NA	-0.35022622	-1.716818
luad_cptac_2020	C3L-01683	NA	NA	-0.12043792	-1.7832552
luad_cptac_2020	C3N-00293	NA	NA	0.57711995	-0.20103353
luad_cptac_2020	C3L-00009	NA	1.7157178	NA	-0.7149758
luad_cptac_2020	C3N-00546	NA	-0.27839035	NA	1.1944232
luad_cptac_2020	C3N-01414	NA	-0.91345376	NA	-0.79472774
luad_cptac_2020	C3N-02087	NA	0.0017672873	NA	0.4598654
luad_cptac_2020	C3L-00140	NA	-0.44748762	-0.50345105	-0.89000595
luad_cptac_2020	C3N-02529	NA	0.26434326	0.05346388	1.149289
luad_cptac_2020	C3L-00368	NA	-1.1457057	-0.24849908	0.00897554
luad_cptac_2020	C3N-02067	NA	-1.3737799	0.06409501	1.4997556
luad_cptac_2020	C3N-02422	NA	0.46519193	-0.3564684	0.07563864
luad_cptac_2020	C3L-00080	NA	1.1525129	1.0468401	-0.42489877
luad_cptac_2020	C3N-00547	NA	0.21205088	2.3095055	-0.008220562
luad_cptac_2020	C3N-01023	NA	-0.4398979	-2.2229624	-1.1239359
luad_cptac_2020	C3N-01024	NA	0.30594736	0.26433077	-0.75798863
luad_cptac_2020	C3L-00973	NA	-0.8099831	1.0625429	-1.1453747
luad_cptac_2020	C3L-02348	NA	-0.7085665	-0.29365698	-0.5869754
luad_cptac_2020	C3L-02508	NA	0.22862288	1.3697727	-0.92805403
luad_cptac_2020	C3N-00560	NA	1.1729146	2.5878656	-1.0199921
luad_cptac_2020	C3L-00604	NA	-0.5490782	-1.0085758	-0.1076059
luad_cptac_2020	C3N-00199	NA	-0.80921715	-0.13965197	1.3014814
luad_cptac_2020	C3N-00579	NA	1.3941997	0.6160357	-0.313598
