STUDY_ID	SAMPLE_ID	KRAS	TP53	AURKA	EGFR
luad_cptac_2020	C3N-01799	-0.2217	0.9268	-0.7166	0.2354
luad_cptac_2020	C3L-01890	0.3153	0.8278	-1.8743	-0.4332
luad_cptac_2020	C3N-00572	0.6404	0.7221	-0.3277	-0.2633
luad_cptac_2020	C3N-02423	-0.1807	-1.0971	0.0895	0.4404
luad_cptac_2020	C3N-02729	0.251	-0.0651	0.2532	0.9471
luad_cptac_2020	C3L-00263	-0.1861	-0.0493	-0.4964	-0.4945
luad_cptac_2020	C3N-01410	1.5033	1.7349	0.8118	-0.5371
luad_cptac_2020	C3N-00578	-0.4264	0.1694	-0.7336	1.2609
luad_cptac_2020	C3N-02587	-0.7249	0.1439	-1.763	-0.398
luad_cptac_2020	C3L-00893	0.0517	-0.1245	-0.6276	0.6357
luad_cptac_2020	C3N-01488	0.0131	1.0882	0.0622	0.2459
luad_cptac_2020	C3N-01413	-1.2489	-0.002	-0.5726	0.3221
luad_cptac_2020	C3N-01030	0.9597	0.9751	-0.2753	0.0741
luad_cptac_2020	C3N-02588	-1.1695	0.7066	0.1452	-0.2751
luad_cptac_2020	C3N-00552	-0.6293	0.0802	-0.792	-0.0903
luad_cptac_2020	C3L-01889	0.3205	1.3956	-1.8637	-0.1809
luad_cptac_2020	C3N-00169	-0.2401	1.4712	0.3605	0.4064
luad_cptac_2020	C3L-00422	-0.6408	0.0797	-1.6651	-0.0301
luad_cptac_2020	C3L-00083	-1.9014	0.6109	-1.5633	-1.0868
luad_cptac_2020	C3N-00551	-0.9609	-0.9373	1.4342	0.2843
luad_cptac_2020	C3N-01842	0.4169	-1.5354	0.3079	-0.649
luad_cptac_2020	C3N-02089	0.5909	0.8683	1.8435	-1.0153
luad_cptac_2020	C3L-01682	-0.5998	-0.0125	0.1185	-0.0125
luad_cptac_2020	C3N-01016	2.0557	-0.487	0.6594	-1.1511
luad_cptac_2020	C3N-00580	-0.2005	0.3135	0.8072	0.0574
luad_cptac_2020	X11LU013	-0.3189	0.44	0.9052	2.7839
luad_cptac_2020	C3N-02000	-0.1782	0.6122	-0.2112	0.926
luad_cptac_2020	C3N-01489	0.4014	0.2414	0.455	-0.1796
luad_cptac_2020	C3N-00737	-0.7679	0.1603	0.0058	-0.7122
luad_cptac_2020	C3N-01405	-0.4741	-1.2708	1.4134	0.122
luad_cptac_2020	C3N-01416	-0.2902	1.0682	0.2612	0.5087
luad_cptac_2020	C3N-02149	0.6214	-2.197	0.4042	-1.1177
luad_cptac_2020	C3N-02424	-0.4119	-0.9224	0.5354	-0.0765
luad_cptac_2020	C3L-00279	-0.2023	0.2121	-0.2992	-0.014
luad_cptac_2020	C3N-02379	-0.0826	-1.605	0.9939	1.3206
luad_cptac_2020	C3L-00095	-0.6964	0.0734	-0.9006	-0.5573
luad_cptac_2020	C3N-02572	-0.6602	0.6319	-0.3186	0.8006
luad_cptac_2020	C3N-00559	0.0978	1.5467	0.113	1.5077
luad_cptac_2020	X11LU016	0.2797	0.6098	0.8013	0.9204
luad_cptac_2020	C3L-02345	0.1502	0.4831	0.7933	-0.7558
luad_cptac_2020	C3L-00093	-0.6042	-1.3579	0.2456	-0.2518
luad_cptac_2020	C3L-00510	-1.332	0.9115	0.0632	0.1027
luad_cptac_2020	C3L-00913	0.6736	-0.5093	0.8569	-1.4084
luad_cptac_2020	X11LU022	2.2262	0.5841	1.6076	0.9561
luad_cptac_2020	C3L-00412	0.5935	-0.7301	-0.194	-0.9481
luad_cptac_2020	C3N-01415	0.1477	-0.0976	0.352	0.9276
luad_cptac_2020	C3N-00549	-0.3636	0.6359	1.4557	-3.1612
luad_cptac_2020	C3N-02433	-1.1832	0.4493	-1.294	0.3087
luad_cptac_2020	C3N-01021	-0.6976	0.4806	-0.8411	0.1423
luad_cptac_2020	C3N-00203	1.2653	-0.0526	1.6822	-0.5168
luad_cptac_2020	C3L-01330	0.1304	-0.8143	-2.0017	0.4683
luad_cptac_2020	C3N-00574	-0.5341	-2.1798	0.9488	1.8631
luad_cptac_2020	X11LU035	-0.9969	0.3107	0.7897	-0.0552
luad_cptac_2020	C3N-01071	-0.4306	-0.0637	0.9635	-2.5938
luad_cptac_2020	C3N-00550	-1.6529	-0.6495	-0.3273	-0.1429
luad_cptac_2020	C3N-00167	-0.9043	-2.0581	-0.714	0.8779
luad_cptac_2020	C3L-00001	2.1743	0.382	-1.128	3.0757
luad_cptac_2020	C3N-01074	4.936	0.6002	0.3354	-0.8069
luad_cptac_2020	C3L-01632	0.3884	0.145	-0.2634	-1.3957
luad_cptac_2020	C3N-02155	-0.1708	-3.444	1.8147	2.2675
luad_cptac_2020	C3N-00217	1.1123	-0.4555	-0.0332	-1.7932
luad_cptac_2020	C3N-02002	0.6164	-1.0012	-1.5688	0.546
luad_cptac_2020	C3N-02145	1.0881	0.5759	-1.1901	0.4981
luad_cptac_2020	C3N-02586	-1.2299	1.0939	-1.4139	1.6408
luad_cptac_2020	C3L-02219	0.1665	0.6254	-0.5472	0.3786
luad_cptac_2020	C3N-00180	0.9531	-0.6337	0.5142	-0.2243
