STUDY_ID	SAMPLE_ID	AURKA	TP53	KRAS	EGFR
luad_oncosg_2020	BGI-EX01	NA	NA	NA	NA
luad_oncosg_2020	BGI-EX02	NA	NA	NA	NA
luad_oncosg_2020	BGI-EX03	NA	NA	NA	NA
luad_oncosg_2020	BGI-EX04	NA	NA	NA	NA
luad_oncosg_2020	BGI-EX05	NA	NA	NA	NA
luad_oncosg_2020	BGI-EX06	NA	NA	NA	NA
luad_oncosg_2020	BGI-EX07	NA	NA	NA	NA
luad_oncosg_2020	BGI-EX08	NA	NA	NA	NA
luad_oncosg_2020	BGI-EX09	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS01	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS02	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS03	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS04	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS05	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS06	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS07	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS08	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS09	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS10	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS11	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS12	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS13	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS14	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS15	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS16	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS17	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS18	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS19	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS20	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS21	NA	NA	NA	NA
luad_oncosg_2020	BGI-RS22	NA	NA	NA	NA
