STUDY_ID	SAMPLE_ID	AURKA	EGFR
luad_tcga_pan_can_atlas_2018	TCGA-05-4250-01	1.925	-0.1804
luad_tcga_pan_can_atlas_2018	TCGA-05-4382-01	-0.1664	-0.4061
luad_tcga_pan_can_atlas_2018	TCGA-05-4402-01	-0.4766	1.3504
luad_tcga_pan_can_atlas_2018	TCGA-05-4410-01	-0.6571	1.6688
luad_tcga_pan_can_atlas_2018	TCGA-05-4418-01	1.1246	-0.4174
luad_tcga_pan_can_atlas_2018	TCGA-05-5423-01	0.8631	0.3451
luad_tcga_pan_can_atlas_2018	TCGA-38-4627-01	-0.9126	0.0299
luad_tcga_pan_can_atlas_2018	TCGA-38-4628-01	-0.182	0.5745
luad_tcga_pan_can_atlas_2018	TCGA-38-6178-01	-0.9578	2.5882
luad_tcga_pan_can_atlas_2018	TCGA-44-5645-01	-1.6397	0.9333
luad_tcga_pan_can_atlas_2018	TCGA-44-7669-01	1.37	-0.1056
luad_tcga_pan_can_atlas_2018	TCGA-44-7670-01	1.8835	-0.4491
luad_tcga_pan_can_atlas_2018	TCGA-44-A479-01	0.8568	0.0701
luad_tcga_pan_can_atlas_2018	TCGA-44-A47B-01	-0.0362	-0.9337
luad_tcga_pan_can_atlas_2018	TCGA-44-A4SU-01	-0.954	0.9871
luad_tcga_pan_can_atlas_2018	TCGA-49-4490-01	-1.7705	0.002
luad_tcga_pan_can_atlas_2018	TCGA-49-4494-01	0.167	-0.4853
luad_tcga_pan_can_atlas_2018	TCGA-49-4501-01	-0.3033	0.748
luad_tcga_pan_can_atlas_2018	TCGA-49-4506-01	1.5807	-1.1713
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR9-01	1.1977	-1.367
luad_tcga_pan_can_atlas_2018	TCGA-49-AARQ-01	1.1134	-0.2773
luad_tcga_pan_can_atlas_2018	TCGA-4B-A93V-01	1.1702	-1.0534
luad_tcga_pan_can_atlas_2018	TCGA-50-5066-01	1.0335	-2.0108
