STUDY_ID	SAMPLE_ID	AURKA	EGFR
luad_tcga_pan_can_atlas_2018	TCGA-05-4244-01	0.0005	0.8652
luad_tcga_pan_can_atlas_2018	TCGA-05-4249-01	-0.6558	0.5054
luad_tcga_pan_can_atlas_2018	TCGA-05-4250-01	1.925	-0.1804
luad_tcga_pan_can_atlas_2018	TCGA-05-4390-01	0.5988	0.548
luad_tcga_pan_can_atlas_2018	TCGA-05-4395-01	0.4197	1.4052
luad_tcga_pan_can_atlas_2018	TCGA-05-4403-01	-0.9798	-0.6873
luad_tcga_pan_can_atlas_2018	TCGA-05-4405-01	-1.5645	1.0176
luad_tcga_pan_can_atlas_2018	TCGA-05-4415-01	1.7167	1.9193
luad_tcga_pan_can_atlas_2018	TCGA-05-4417-01	-0.4379	0.1862
luad_tcga_pan_can_atlas_2018	TCGA-05-4418-01	1.1246	-0.4174
luad_tcga_pan_can_atlas_2018	TCGA-05-4427-01	0.2049	0.4757
luad_tcga_pan_can_atlas_2018	TCGA-05-4433-01	-0.1776	-0.1465
luad_tcga_pan_can_atlas_2018	TCGA-35-3615-01	-1.5478	-1.2955
luad_tcga_pan_can_atlas_2018	TCGA-44-3917-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-6144-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-6145-01	0.0665	-0.8152
luad_tcga_pan_can_atlas_2018	TCGA-44-6146-01	-1.2199	0.319
luad_tcga_pan_can_atlas_2018	TCGA-44-6776-01	-1.8462	-0.2451
luad_tcga_pan_can_atlas_2018	TCGA-44-7659-01	-0.8744	0.6461
luad_tcga_pan_can_atlas_2018	TCGA-44-7661-01	0.8041	0.7566
luad_tcga_pan_can_atlas_2018	TCGA-44-7671-01	-0.9543	-0.2932
luad_tcga_pan_can_atlas_2018	TCGA-44-7672-01	0.565	0.123
luad_tcga_pan_can_atlas_2018	TCGA-44-8117-01	0.3832	1.107
luad_tcga_pan_can_atlas_2018	TCGA-44-A47A-01	0.8028	-0.1718
luad_tcga_pan_can_atlas_2018	TCGA-44-A47F-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-4505-01	-1.2929	0.3862
luad_tcga_pan_can_atlas_2018	TCGA-49-4506-01	1.5807	-1.1713
luad_tcga_pan_can_atlas_2018	TCGA-49-4510-01	-1.0893	-0.807
luad_tcga_pan_can_atlas_2018	TCGA-49-AARO-01	-0.1706	0.3211
luad_tcga_pan_can_atlas_2018	TCGA-49-AARQ-01	1.1134	-0.2773
luad_tcga_pan_can_atlas_2018	TCGA-4B-A93V-01	1.1702	-1.0534
luad_tcga_pan_can_atlas_2018	TCGA-50-5051-01	0.3551	-1.9487
luad_tcga_pan_can_atlas_2018	TCGA-50-5932-01	-0.3929	0.7609
luad_tcga_pan_can_atlas_2018	TCGA-50-5933-01	0.6608	1.7312
luad_tcga_pan_can_atlas_2018	TCGA-50-5936-01	-0.3852	0.3269
luad_tcga_pan_can_atlas_2018	TCGA-50-5941-01	0.6337	0.4821
luad_tcga_pan_can_atlas_2018	TCGA-50-7109-01	1.1685	-0.9767
luad_tcga_pan_can_atlas_2018	TCGA-50-8459-01	-1.0229	-0.4206
luad_tcga_pan_can_atlas_2018	TCGA-53-7813-01	0.6291	-0.8782
luad_tcga_pan_can_atlas_2018	TCGA-55-1595-01	0.5388	-0.6045
luad_tcga_pan_can_atlas_2018	TCGA-55-6642-01	-0.1709	0.8828
luad_tcga_pan_can_atlas_2018	TCGA-55-6970-01	0.4034	-0.2977
luad_tcga_pan_can_atlas_2018	TCGA-55-6975-01	1.3166	-0.0893
luad_tcga_pan_can_atlas_2018	TCGA-55-6983-01	-1.1881	-0.7349
luad_tcga_pan_can_atlas_2018	TCGA-55-6984-01	-0.3369	-0.5567
luad_tcga_pan_can_atlas_2018	TCGA-55-7281-01	-0.8118	-0.8306
luad_tcga_pan_can_atlas_2018	TCGA-55-7283-01	-0.5428	0.7768
luad_tcga_pan_can_atlas_2018	TCGA-55-7284-01	-1.1732	0.3218
luad_tcga_pan_can_atlas_2018	TCGA-55-7576-01	0.1751	0.3035
luad_tcga_pan_can_atlas_2018	TCGA-55-7725-01	-0.8468	0.4565
luad_tcga_pan_can_atlas_2018	TCGA-55-7726-01	1.4226	1.8581
luad_tcga_pan_can_atlas_2018	TCGA-55-7728-01	-1.0041	-1.297
luad_tcga_pan_can_atlas_2018	TCGA-55-7815-01	0.2021	-1.1279
luad_tcga_pan_can_atlas_2018	TCGA-55-7907-01	0.0725	-0.3149
luad_tcga_pan_can_atlas_2018	TCGA-55-7910-01	1.6774	-0.921
luad_tcga_pan_can_atlas_2018	TCGA-55-7911-01	0.3489	-0.3503
luad_tcga_pan_can_atlas_2018	TCGA-55-7914-01	-0.2537	-0.0189
luad_tcga_pan_can_atlas_2018	TCGA-55-8090-01	-0.3657	0.5632
luad_tcga_pan_can_atlas_2018	TCGA-55-8094-01	1.4646	-4.1026
luad_tcga_pan_can_atlas_2018	TCGA-55-8097-01	-0.7491	0.1452
luad_tcga_pan_can_atlas_2018	TCGA-55-8203-01	0.1689	-0.2905
luad_tcga_pan_can_atlas_2018	TCGA-55-8207-01	-1.5756	0.9391
luad_tcga_pan_can_atlas_2018	TCGA-55-8299-01	-0.0246	0.0406
luad_tcga_pan_can_atlas_2018	TCGA-55-8302-01	0.5542	-0.2483
luad_tcga_pan_can_atlas_2018	TCGA-55-8508-01	-0.1521	0.4239
luad_tcga_pan_can_atlas_2018	TCGA-55-8512-01	-2.1567	0.1372
luad_tcga_pan_can_atlas_2018	TCGA-55-8514-01	-1.5796	0.0044
