STUDY_ID	SAMPLE_ID	AURKA	EGFR
luad_tcga_pan_can_atlas_2018	TCGA-05-4249-01	-0.6558	0.5054
luad_tcga_pan_can_atlas_2018	TCGA-05-4250-01	1.925	-0.1804
luad_tcga_pan_can_atlas_2018	TCGA-05-4382-01	-0.1664	-0.4061
luad_tcga_pan_can_atlas_2018	TCGA-05-4384-01	-1.2438	-0.4767
luad_tcga_pan_can_atlas_2018	TCGA-05-4389-01	0.4621	-1.1105
luad_tcga_pan_can_atlas_2018	TCGA-05-4390-01	0.5988	0.548
luad_tcga_pan_can_atlas_2018	TCGA-05-4396-01	-0.7654	0.1796
luad_tcga_pan_can_atlas_2018	TCGA-05-4397-01	2.6235	-1.1224
luad_tcga_pan_can_atlas_2018	TCGA-05-4398-01	0.1626	1.238
luad_tcga_pan_can_atlas_2018	TCGA-05-4402-01	-0.4766	1.3504
luad_tcga_pan_can_atlas_2018	TCGA-05-4403-01	-0.9798	-0.6873
luad_tcga_pan_can_atlas_2018	TCGA-05-4410-01	-0.6571	1.6688
luad_tcga_pan_can_atlas_2018	TCGA-05-4417-01	-0.4379	0.1862
luad_tcga_pan_can_atlas_2018	TCGA-05-4418-01	1.1246	-0.4174
luad_tcga_pan_can_atlas_2018	TCGA-05-4420-01	1.4573	-0.4986
luad_tcga_pan_can_atlas_2018	TCGA-05-4422-01	1.593	-0.6477
luad_tcga_pan_can_atlas_2018	TCGA-05-4424-01	-0.0381	-0.3359
luad_tcga_pan_can_atlas_2018	TCGA-05-4425-01	-0.1697	0.0565
luad_tcga_pan_can_atlas_2018	TCGA-05-4426-01	-0.7894	0.3978
luad_tcga_pan_can_atlas_2018	TCGA-05-4427-01	0.2049	0.4757
luad_tcga_pan_can_atlas_2018	TCGA-05-4430-01	-0.2024	-0.3993
luad_tcga_pan_can_atlas_2018	TCGA-05-4432-01	0.6496	0.3013
luad_tcga_pan_can_atlas_2018	TCGA-05-4433-01	-0.1776	-0.1465
luad_tcga_pan_can_atlas_2018	TCGA-05-4434-01	0.5418	0.1342
luad_tcga_pan_can_atlas_2018	TCGA-05-5423-01	0.8631	0.3451
luad_tcga_pan_can_atlas_2018	TCGA-05-5425-01	1.3716	0.0339
luad_tcga_pan_can_atlas_2018	TCGA-05-5428-01	0.6135	-0.8817
luad_tcga_pan_can_atlas_2018	TCGA-05-5429-01	0.0407	-0.7324
luad_tcga_pan_can_atlas_2018	TCGA-05-5715-01	-0.5861	-0.0751
luad_tcga_pan_can_atlas_2018	TCGA-35-3615-01	-1.5478	-1.2955
luad_tcga_pan_can_atlas_2018	TCGA-35-4122-01	0.9709	-1.4488
luad_tcga_pan_can_atlas_2018	TCGA-35-4123-01	0.9523	0.1431
luad_tcga_pan_can_atlas_2018	TCGA-35-5375-01	1.0054	-1.8452
luad_tcga_pan_can_atlas_2018	TCGA-38-4625-01	1.7059	0.012
luad_tcga_pan_can_atlas_2018	TCGA-38-4626-01	-0.7768	-0.1282
luad_tcga_pan_can_atlas_2018	TCGA-38-4627-01	-0.9126	0.0299
luad_tcga_pan_can_atlas_2018	TCGA-38-4628-01	-0.182	0.5745
luad_tcga_pan_can_atlas_2018	TCGA-38-4631-01	1.7445	-1.5926
luad_tcga_pan_can_atlas_2018	TCGA-38-4632-01	1.3323	0.0201
luad_tcga_pan_can_atlas_2018	TCGA-38-6178-01	-0.9578	2.5882
luad_tcga_pan_can_atlas_2018	TCGA-38-7271-01	-1.0835	-0.1383
luad_tcga_pan_can_atlas_2018	TCGA-38-A44F-01	-1.4928	-1.0949
luad_tcga_pan_can_atlas_2018	TCGA-44-2655-01	-1.1436	-0.9189
luad_tcga_pan_can_atlas_2018	TCGA-44-2656-01	-0.0204	0.9088
luad_tcga_pan_can_atlas_2018	TCGA-44-2657-01	-0.2157	0.3451
luad_tcga_pan_can_atlas_2018	TCGA-44-2659-01	-1.0773	1.8676
luad_tcga_pan_can_atlas_2018	TCGA-44-2662-01	0.986	0.3182
luad_tcga_pan_can_atlas_2018	TCGA-44-2665-01	-1.1056	-0.2031
luad_tcga_pan_can_atlas_2018	TCGA-44-2666-01	-0.9373	0.0231
