STUDY_ID	SAMPLE_ID	KRAS	EGFR	AURKA	TP53
luad_cptac_2020	C3N-01799	-0.31823537	-1.1129234	NA	-0.7810865
luad_cptac_2020	C3L-01890	0.47890395	-0.66095024	NA	-0.7235022
luad_cptac_2020	C3N-00572	0.70664406	-0.029072529	NA	3.0710719
luad_cptac_2020	C3N-02423	0.45374036	0.45765382	NA	-0.3972145
luad_cptac_2020	C3N-02729	-0.06611189	0.40606555	NA	NA
luad_cptac_2020	C3L-00263	-3.1045654	-0.7990606	NA	NA
luad_cptac_2020	C3N-01410	0.30295393	-0.2065399	NA	NA
luad_cptac_2020	C3N-00578	0.68762505	1.985489	NA	NA
luad_cptac_2020	C3N-02587	0.23292507	0.09445957	NA	-0.68141073
luad_cptac_2020	C3L-00893	0.08428439	-0.23028043	NA	-0.67295057
luad_cptac_2020	C3N-01488	0.09559825	0.49060172	NA	-0.7853688
luad_cptac_2020	C3N-01413	-1.3071251	-0.19403775	NA	0.58269316
luad_cptac_2020	C3N-01030	0.20629849	0.13918748	NA	0.74991035
luad_cptac_2020	C3N-02588	-0.5677254	-0.16483596	NA	0.7168359
luad_cptac_2020	C3N-00552	0.46134797	0.6394992	NA	0.31722748
luad_cptac_2020	C3L-01889	-0.49155197	-0.22432274	NA	0.113315076
luad_cptac_2020	C3N-00169	-1.0260342	0.87848437	NA	NA
luad_cptac_2020	C3L-00422	-0.41313523	0.053838857	NA	NA
luad_cptac_2020	C3L-00083	-0.13282463	-1.1561166	NA	NA
luad_cptac_2020	C3N-00551	-0.2001226	0.34626284	NA	NA
luad_cptac_2020	C3N-01842	0.426236	-0.56382155	NA	NA
luad_cptac_2020	C3N-02089	0.3529885	-0.4049946	NA	0.6995328
luad_cptac_2020	C3L-01682	-2.466503	-0.40052634	NA	0.0055969553
luad_cptac_2020	C3N-01016	-0.97980344	-0.5401262	NA	-0.47840345
luad_cptac_2020	C3N-00580	1.0356238	0.39870867	NA	0.9251351
luad_cptac_2020	X11LU013	1.0283087	2.464001	NA	1.187885
luad_cptac_2020	C3N-02000	-0.78142077	0.82030654	NA	1.6023597
luad_cptac_2020	C3N-01489	0.53108424	-0.7825416	NA	0.09872752
luad_cptac_2020	C3N-00737	-0.11185499	-0.9106773	NA	1.5132328
luad_cptac_2020	C3N-01405	-0.09732254	-0.019052746	NA	-1.1293775
luad_cptac_2020	C3N-01416	-1.7123756	0.79859704	NA	NA
luad_cptac_2020	C3N-02149	-1.5951407	-0.90936834	NA	NA
luad_cptac_2020	C3N-02424	-0.61317587	-0.26864445	NA	NA
luad_cptac_2020	C3L-00279	0.6504649	0.09387282	NA	NA
luad_cptac_2020	C3N-02379	-0.12199845	1.4387343	NA	-1.6575235
luad_cptac_2020	C3L-00095	-0.71880436	-1.1717331	NA	0.89578587
luad_cptac_2020	C3N-02572	-0.19310018	0.89098656	NA	1.3219583
luad_cptac_2020	C3N-00559	0.4157024	1.7144134	NA	2.3914802
luad_cptac_2020	X11LU016	-0.77947015	0.4069231	NA	0.37376732
luad_cptac_2020	C3L-02345	0.27379152	-1.0726637	NA	-0.61184996
luad_cptac_2020	C3L-00093	-0.78054297	-0.7643976	NA	-0.200474
luad_cptac_2020	C3L-00510	0.1391956	-1.6358924	NA	1.173959
luad_cptac_2020	C3L-00913	-0.62731826	-0.62750584	NA	-0.75995374
luad_cptac_2020	X11LU022	2.315065	0.6001874	NA	-0.19695766
luad_cptac_2020	C3L-00412	-2.581007	-1.8124119	NA	-0.3095151
luad_cptac_2020	C3N-01415	-0.12921591	2.066956	NA	0.8856199
luad_cptac_2020	C3N-00549	-0.29160878	-0.88134015	NA	0.500773
luad_cptac_2020	C3N-02433	-0.06864774	-0.585847	NA	-0.9709336
luad_cptac_2020	C3N-01021	0.6919165	-0.09799232	NA	-0.848419
luad_cptac_2020	C3N-00203	0.82924336	-0.1561702	NA	0.26256767
luad_cptac_2020	C3L-01330	0.30675775	0.19190414	NA	-1.6873252
luad_cptac_2020	C3N-00574	-0.7960507	2.3302233	NA	-2.1136715
luad_cptac_2020	X11LU035	-0.5904507	-0.8192807	NA	0.92649287
luad_cptac_2020	C3N-01071	0.50806636	-0.9030496	NA	NA
luad_cptac_2020	C3N-00550	0.8162715	-0.0022177228	NA	NA
luad_cptac_2020	C3N-00167	-1.4225068	-0.057958357	NA	NA
luad_cptac_2020	C3L-00001	0.83080393	3.5578263	NA	NA
luad_cptac_2020	C3N-01074	1.9261024	-0.47233474	NA	NA
luad_cptac_2020	C3L-01632	0.8582108	-1.0056847	NA	NA
luad_cptac_2020	C3N-02155	-0.18607779	1.8374039	NA	NA
luad_cptac_2020	C3N-00217	0.06194927	-1.1043026	NA	NA
luad_cptac_2020	C3N-02002	0.46456656	0.22480692	NA	NA
luad_cptac_2020	C3N-02145	0.12037169	0.5119502	NA	-1.0793133
luad_cptac_2020	C3N-02586	-0.64536184	2.2592726	NA	1.5318589
luad_cptac_2020	C3L-02219	0.259064	0.7118041	NA	-0.89531505
luad_cptac_2020	C3N-00180	1.0884868	0.052349433	NA	0.96315324
luad_cptac_2020	C3L-01862	-1.0642672	-1.0741981	NA	-0.48982283
luad_cptac_2020	C3N-00704	0.8862028	0.61846673	NA	0.6086304
luad_cptac_2020	C3N-02158	0.36615548	-0.60674417	NA	-0.7151466
luad_cptac_2020	C3N-02421	0.10174284	1.8685013	NA	-0.901164
luad_cptac_2020	C3N-00556	1.7303531	0.285738	NA	-1.4945188
luad_cptac_2020	C3N-00294	1.0077292	0.7758043	NA	-0.9296776
luad_cptac_2020	C3N-01072	0.50114155	0.24444026	NA	-0.4165021
luad_cptac_2020	C3L-00094	0.70186496	-0.9182598	NA	0.2520187
luad_cptac_2020	C3L-00144	0.16231099	-0.09857909	NA	0.58244944
luad_cptac_2020	C3N-00223	0.5814114	0.04296153	NA	-0.24764855
luad_cptac_2020	C3N-02380	-0.04689785	0.203639	NA	0.4104973
luad_cptac_2020	C3L-01924	0.36283937	0.6047008	NA	NA
luad_cptac_2020	C3N-00433	-0.35022622	-1.716818	NA	NA
luad_cptac_2020	C3L-01683	-0.12043792	-1.7832552	NA	NA
luad_cptac_2020	C3N-00293	0.57711995	-0.20103353	NA	NA
luad_cptac_2020	C3L-00009	NA	-0.7149758	NA	1.7157178
luad_cptac_2020	C3N-00546	NA	1.1944232	NA	-0.27839035
luad_cptac_2020	C3N-01414	NA	-0.79472774	NA	-0.91345376
luad_cptac_2020	C3N-02087	NA	0.4598654	NA	0.0017672873
luad_cptac_2020	C3L-00140	-0.50345105	-0.89000595	NA	-0.44748762
luad_cptac_2020	C3N-02529	0.05346388	1.149289	NA	0.26434326
luad_cptac_2020	C3L-00368	-0.24849908	0.00897554	NA	-1.1457057
luad_cptac_2020	C3N-02067	0.06409501	1.4997556	NA	-1.3737799
luad_cptac_2020	C3N-02422	-0.3564684	0.07563864	NA	0.46519193
luad_cptac_2020	C3L-00080	1.0468401	-0.42489877	NA	1.1525129
luad_cptac_2020	C3N-00547	2.3095055	-0.008220562	NA	0.21205088
