STUDY_ID	SAMPLE_ID	KRAS	EGFR	AURKA	TP53
luad_cptac_2020	C3N-01799	-0.2217	0.2354	-0.7166	0.9268
luad_cptac_2020	C3L-01890	0.3153	-0.4332	-1.8743	0.8278
luad_cptac_2020	C3N-00572	0.6404	-0.2633	-0.3277	0.7221
luad_cptac_2020	C3N-02423	-0.1807	0.4404	0.0895	-1.0971
luad_cptac_2020	C3N-02729	0.251	0.9471	0.2532	-0.0651
luad_cptac_2020	C3L-00263	-0.1861	-0.4945	-0.4964	-0.0493
luad_cptac_2020	C3N-01410	1.5033	-0.5371	0.8118	1.7349
luad_cptac_2020	C3N-00578	-0.4264	1.2609	-0.7336	0.1694
luad_cptac_2020	C3N-02587	-0.7249	-0.398	-1.763	0.1439
luad_cptac_2020	C3L-00893	0.0517	0.6357	-0.6276	-0.1245
luad_cptac_2020	C3N-01488	0.0131	0.2459	0.0622	1.0882
luad_cptac_2020	C3N-01413	-1.2489	0.3221	-0.5726	-0.002
luad_cptac_2020	C3N-01030	0.9597	0.0741	-0.2753	0.9751
luad_cptac_2020	C3N-02588	-1.1695	-0.2751	0.1452	0.7066
luad_cptac_2020	C3N-00552	-0.6293	-0.0903	-0.792	0.0802
luad_cptac_2020	C3L-01889	0.3205	-0.1809	-1.8637	1.3956
luad_cptac_2020	C3N-00169	-0.2401	0.4064	0.3605	1.4712
luad_cptac_2020	C3L-00422	-0.6408	-0.0301	-1.6651	0.0797
luad_cptac_2020	C3L-00083	-1.9014	-1.0868	-1.5633	0.6109
luad_cptac_2020	C3N-00551	-0.9609	0.2843	1.4342	-0.9373
luad_cptac_2020	C3N-01842	0.4169	-0.649	0.3079	-1.5354
luad_cptac_2020	C3N-02089	0.5909	-1.0153	1.8435	0.8683
luad_cptac_2020	C3L-01682	-0.5998	-0.0125	0.1185	-0.0125
luad_cptac_2020	C3N-01016	2.0557	-1.1511	0.6594	-0.487
luad_cptac_2020	C3N-00580	-0.2005	0.0574	0.8072	0.3135
luad_cptac_2020	X11LU013	-0.3189	2.7839	0.9052	0.44
luad_cptac_2020	C3N-02000	-0.1782	0.926	-0.2112	0.6122
luad_cptac_2020	C3N-01489	0.4014	-0.1796	0.455	0.2414
luad_cptac_2020	C3N-00737	-0.7679	-0.7122	0.0058	0.1603
luad_cptac_2020	C3N-01405	-0.4741	0.122	1.4134	-1.2708
luad_cptac_2020	C3N-01416	-0.2902	0.5087	0.2612	1.0682
luad_cptac_2020	C3N-02149	0.6214	-1.1177	0.4042	-2.197
luad_cptac_2020	C3N-02424	-0.4119	-0.0765	0.5354	-0.9224
luad_cptac_2020	C3L-00279	-0.2023	-0.014	-0.2992	0.2121
luad_cptac_2020	C3N-02379	-0.0826	1.3206	0.9939	-1.605
luad_cptac_2020	C3L-00095	-0.6964	-0.5573	-0.9006	0.0734
luad_cptac_2020	C3N-02572	-0.6602	0.8006	-0.3186	0.6319
luad_cptac_2020	C3N-00559	0.0978	1.5077	0.113	1.5467
luad_cptac_2020	X11LU016	0.2797	0.9204	0.8013	0.6098
luad_cptac_2020	C3L-02345	0.1502	-0.7558	0.7933	0.4831
luad_cptac_2020	C3L-00093	-0.6042	-0.2518	0.2456	-1.3579
luad_cptac_2020	C3L-00510	-1.332	0.1027	0.0632	0.9115
luad_cptac_2020	C3L-00913	0.6736	-1.4084	0.8569	-0.5093
luad_cptac_2020	X11LU022	2.2262	0.9561	1.6076	0.5841
luad_cptac_2020	C3L-00412	0.5935	-0.9481	-0.194	-0.7301
luad_cptac_2020	C3N-01415	0.1477	0.9276	0.352	-0.0976
luad_cptac_2020	C3N-00549	-0.3636	-3.1612	1.4557	0.6359
luad_cptac_2020	C3N-02433	-1.1832	0.3087	-1.294	0.4493
luad_cptac_2020	C3N-01021	-0.6976	0.1423	-0.8411	0.4806
luad_cptac_2020	C3N-00203	1.2653	-0.5168	1.6822	-0.0526
luad_cptac_2020	C3L-01330	0.1304	0.4683	-2.0017	-0.8143
luad_cptac_2020	C3N-00574	-0.5341	1.8631	0.9488	-2.1798
luad_cptac_2020	X11LU035	-0.9969	-0.0552	0.7897	0.3107
luad_cptac_2020	C3N-01071	-0.4306	-2.5938	0.9635	-0.0637
luad_cptac_2020	C3N-00550	-1.6529	-0.1429	-0.3273	-0.6495
luad_cptac_2020	C3N-00167	-0.9043	0.8779	-0.714	-2.0581
