STUDY_ID	SAMPLE_ID	KRAS	EGFR	AURKA	TP53
luad_tcga_pan_can_atlas_2018	TCGA-05-4244-01	0.6047	0.8652	0.0005	0.1371
luad_tcga_pan_can_atlas_2018	TCGA-05-4249-01	2.3487	0.5054	-0.6558	1.1503
luad_tcga_pan_can_atlas_2018	TCGA-05-4250-01	2.3946	-0.1804	1.925	-2.189
luad_tcga_pan_can_atlas_2018	TCGA-05-4382-01	0.1888	-0.4061	-0.1664	0.123
luad_tcga_pan_can_atlas_2018	TCGA-05-4384-01	-0.1884	-0.4767	-1.2438	0.7751
luad_tcga_pan_can_atlas_2018	TCGA-05-4389-01	-0.1403	-1.1105	0.4621	0.2045
luad_tcga_pan_can_atlas_2018	TCGA-05-4390-01	0.8451	0.548	0.5988	0.1875
luad_tcga_pan_can_atlas_2018	TCGA-05-4395-01	1.5036	1.4052	0.4197	-0.0319
luad_tcga_pan_can_atlas_2018	TCGA-05-4396-01	1.5386	0.1796	-0.7654	-2.3446
luad_tcga_pan_can_atlas_2018	TCGA-05-4397-01	-0.8716	-1.1224	2.6235	-1.3342
luad_tcga_pan_can_atlas_2018	TCGA-05-4398-01	-0.3572	1.238	0.1626	0.1871
luad_tcga_pan_can_atlas_2018	TCGA-05-4402-01	0.0092	1.3504	-0.4766	-2.0065
luad_tcga_pan_can_atlas_2018	TCGA-05-4403-01	-0.1623	-0.6873	-0.9798	0.5602
luad_tcga_pan_can_atlas_2018	TCGA-05-4405-01	-0.4935	1.0176	-1.5645	1.7066
luad_tcga_pan_can_atlas_2018	TCGA-05-4410-01	-0.4198	1.6688	-0.6571	0.5693
luad_tcga_pan_can_atlas_2018	TCGA-05-4415-01	1.5368	1.9193	1.7167	-3.0072
luad_tcga_pan_can_atlas_2018	TCGA-05-4417-01	1.5718	0.1862	-0.4379	0.1162
luad_tcga_pan_can_atlas_2018	TCGA-05-4418-01	-0.1613	-0.4174	1.1246	-0.2265
luad_tcga_pan_can_atlas_2018	TCGA-05-4420-01	-0.0015	-0.4986	1.4573	-0.0597
luad_tcga_pan_can_atlas_2018	TCGA-05-4422-01	-0.1038	-0.6477	1.593	1.6095
luad_tcga_pan_can_atlas_2018	TCGA-05-4424-01	1.185	-0.3359	-0.0381	1.0246
luad_tcga_pan_can_atlas_2018	TCGA-05-4425-01	0.491	0.0565	-0.1697	-0.0837
luad_tcga_pan_can_atlas_2018	TCGA-05-4426-01	-1.9507	0.3978	-0.7894	-0.355
luad_tcga_pan_can_atlas_2018	TCGA-05-4427-01	1.4159	0.4757	0.2049	0.4422
luad_tcga_pan_can_atlas_2018	TCGA-05-4430-01	0.4783	-0.3993	-0.2024	0.5078
luad_tcga_pan_can_atlas_2018	TCGA-05-4432-01	-0.0744	0.3013	0.6496	0.7587
luad_tcga_pan_can_atlas_2018	TCGA-05-4433-01	1.5912	-0.1465	-0.1776	-1.4861
luad_tcga_pan_can_atlas_2018	TCGA-05-4434-01	-0.1221	0.1342	0.5418	1.1887
luad_tcga_pan_can_atlas_2018	TCGA-05-5423-01	-0.3343	0.3451	0.8631	0.4271
luad_tcga_pan_can_atlas_2018	TCGA-05-5425-01	-0.6801	0.0339	1.3716	-1.9166
luad_tcga_pan_can_atlas_2018	TCGA-05-5428-01	-0.0432	-0.8817	0.6135	-0.0517
luad_tcga_pan_can_atlas_2018	TCGA-05-5429-01	-0.5644	-0.7324	0.0407	-0.1767
luad_tcga_pan_can_atlas_2018	TCGA-05-5715-01	0.2926	-0.0751	-0.5861	0.3781
luad_tcga_pan_can_atlas_2018	TCGA-35-3615-01	-0.3725	-1.2955	-1.5478	1.2209
luad_tcga_pan_can_atlas_2018	TCGA-35-4122-01	0.0556	-1.4488	0.9709	-0.8653
luad_tcga_pan_can_atlas_2018	TCGA-35-4123-01	-0.2191	0.1431	0.9523	-1.6931
luad_tcga_pan_can_atlas_2018	TCGA-35-5375-01	-1.5687	-1.8452	1.0054	0.8063
luad_tcga_pan_can_atlas_2018	TCGA-38-4625-01	-0.2889	0.012	1.7059	0.925
luad_tcga_pan_can_atlas_2018	TCGA-38-4626-01	-0.5086	-0.1282	-0.7768	-0.3045
luad_tcga_pan_can_atlas_2018	TCGA-38-4627-01	-0.4623	0.0299	-0.9126	0.218
luad_tcga_pan_can_atlas_2018	TCGA-38-4628-01	-0.4047	0.5745	-0.182	1.0562
luad_tcga_pan_can_atlas_2018	TCGA-38-4631-01	0.1449	-1.5926	1.7445	-4.2122
luad_tcga_pan_can_atlas_2018	TCGA-38-4632-01	-1.0673	0.0201	1.3323	-0.835
luad_tcga_pan_can_atlas_2018	TCGA-38-6178-01	-0.4374	2.5882	-0.9578	0.8023
luad_tcga_pan_can_atlas_2018	TCGA-38-7271-01	-0.3264	-0.1383	-1.0835	0.7215
luad_tcga_pan_can_atlas_2018	TCGA-38-A44F-01	-0.5438	-1.0949	-1.4928	-0.0567
luad_tcga_pan_can_atlas_2018	TCGA-44-2655-01	-1.0775	-0.9189	-1.1436	1.3311
luad_tcga_pan_can_atlas_2018	TCGA-44-2656-01	-0.5848	0.9088	-0.0204	-1.2055
luad_tcga_pan_can_atlas_2018	TCGA-44-2657-01	0.1985	0.3451	-0.2157	-0.749
luad_tcga_pan_can_atlas_2018	TCGA-44-2659-01	-0.3419	1.8676	-1.0773	-0.3484
luad_tcga_pan_can_atlas_2018	TCGA-44-2662-01	-0.4578	0.3182	0.986	-0.0322
luad_tcga_pan_can_atlas_2018	TCGA-44-2665-01	-0.3598	-0.2031	-1.1056	0.5585
luad_tcga_pan_can_atlas_2018	TCGA-44-2666-01	-1.3304	0.0231	-0.9373	1.0485
luad_tcga_pan_can_atlas_2018	TCGA-44-2668-01	0.4359	1.0802	1.0064	-1.9294
luad_tcga_pan_can_atlas_2018	TCGA-44-3396-01	-1.0406	-0.2031	-0.034	0.6325
luad_tcga_pan_can_atlas_2018	TCGA-44-3398-01	0.4698	-1.0927	-0.5676	-0.005
luad_tcga_pan_can_atlas_2018	TCGA-44-3917-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-3918-01	-0.2966	-0.2928	0.4677	-0.669
luad_tcga_pan_can_atlas_2018	TCGA-44-3919-01	-0.1753	-0.0386	0.0528	-0.8174
luad_tcga_pan_can_atlas_2018	TCGA-44-4112-01	0.5413	0.2971	0.1264	1.3712
luad_tcga_pan_can_atlas_2018	TCGA-44-5643-01	2.767	-0.0306	0.9381	0.8067
luad_tcga_pan_can_atlas_2018	TCGA-44-5644-01	0.3844	1.1916	0.8788	0.4483
luad_tcga_pan_can_atlas_2018	TCGA-44-5645-01	-0.6666	0.9333	-1.6397	0.7363
luad_tcga_pan_can_atlas_2018	TCGA-44-6144-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-6145-01	0.0845	-0.8152	0.0665	-1.1009
luad_tcga_pan_can_atlas_2018	TCGA-44-6146-01	1.1075	0.319	-1.2199	0.25
luad_tcga_pan_can_atlas_2018	TCGA-44-6148-01	-1.7243	0.5794	-2.2431	0.4656
luad_tcga_pan_can_atlas_2018	TCGA-44-6774-01	-0.5324	-0.1389	-0.0775	0.7977
luad_tcga_pan_can_atlas_2018	TCGA-44-6775-01	-0.6756	0.8609	-0.0888	-0.0565
luad_tcga_pan_can_atlas_2018	TCGA-44-6776-01	0.9153	-0.2451	-1.8462	0.3778
luad_tcga_pan_can_atlas_2018	TCGA-44-6777-01	-0.1493	0.9972	-0.9463	0.1291
luad_tcga_pan_can_atlas_2018	TCGA-44-6778-01	-0.0178	-0.634	0.3029	0.2387
luad_tcga_pan_can_atlas_2018	TCGA-44-6779-01	-0.1871	1.3794	-0.3337	0.7451
luad_tcga_pan_can_atlas_2018	TCGA-44-7659-01	-0.2721	0.6461	-0.8744	0.1769
luad_tcga_pan_can_atlas_2018	TCGA-44-7660-01	0.2266	-0.5973	0.624	-1.1818
luad_tcga_pan_can_atlas_2018	TCGA-44-7661-01	1.7358	0.7566	0.8041	-1.0966
luad_tcga_pan_can_atlas_2018	TCGA-44-7662-01	-0.3567	0.3016	1.0969	-0.9877
luad_tcga_pan_can_atlas_2018	TCGA-44-7667-01	0.6355	-0.6376	1.4401	1.0302
luad_tcga_pan_can_atlas_2018	TCGA-44-7669-01	1.4599	-0.1056	1.37	-0.3047
luad_tcga_pan_can_atlas_2018	TCGA-44-7670-01	3.3622	-0.4491	1.8835	-0.1941
luad_tcga_pan_can_atlas_2018	TCGA-44-7671-01	0.1875	-0.2932	-0.9543	0.7674
luad_tcga_pan_can_atlas_2018	TCGA-44-7672-01	1.2063	0.123	0.565	0.3992
luad_tcga_pan_can_atlas_2018	TCGA-44-8117-01	0.7632	1.107	0.3832	-2.5938
luad_tcga_pan_can_atlas_2018	TCGA-44-8119-01	0.4409	-1.1903	1.1725	-1.3009
luad_tcga_pan_can_atlas_2018	TCGA-44-8120-01	-1.0479	-0.1325	-0.6391	-0.6381
luad_tcga_pan_can_atlas_2018	TCGA-44-A479-01	2.1347	0.0701	0.8568	-0.0744
luad_tcga_pan_can_atlas_2018	TCGA-44-A47A-01	-0.3091	-0.1718	0.8028	0.936
luad_tcga_pan_can_atlas_2018	TCGA-44-A47B-01	1.5651	-0.9337	-0.0362	-0.7299
luad_tcga_pan_can_atlas_2018	TCGA-44-A47F-01	NA	NA	NA	NA
