STUDY_ID	SAMPLE_ID	KRAS	TP53	AURKA	EGFR
luad_tcga_pan_can_atlas_2018	TCGA-05-4244-01	0.025	-0.308	-0.311	-0.162
luad_tcga_pan_can_atlas_2018	TCGA-05-4249-01	0.05	-0.288	-0.287	-0.222
luad_tcga_pan_can_atlas_2018	TCGA-05-4250-01	2.12	-0.007	0.949	0.31
luad_tcga_pan_can_atlas_2018	TCGA-05-4382-01	0.159	-0.088	0.075	0.207
luad_tcga_pan_can_atlas_2018	TCGA-05-4384-01	0.001	0.012	0.011	0
luad_tcga_pan_can_atlas_2018	TCGA-05-4389-01	0.192	-0.478	0.265	0.086
luad_tcga_pan_can_atlas_2018	TCGA-05-4390-01	0.401	0.039	0.457	1.5
luad_tcga_pan_can_atlas_2018	TCGA-05-4395-01	2.25	-0.476	0.008	0.839
luad_tcga_pan_can_atlas_2018	TCGA-05-4396-01	0.014	-0.691	0.093	0.001
luad_tcga_pan_can_atlas_2018	TCGA-05-4397-01	-0.002	-0.817	1.21	-0.025
luad_tcga_pan_can_atlas_2018	TCGA-05-4398-01	0.019	-0.593	-0.028	0.815
luad_tcga_pan_can_atlas_2018	TCGA-05-4402-01	0.17	-0.424	-0.199	2.7
luad_tcga_pan_can_atlas_2018	TCGA-05-4403-01	-0.008	-0.031	-0.022	-0.005
luad_tcga_pan_can_atlas_2018	TCGA-05-4405-01	-0.338	0.094	-0.353	1.33
luad_tcga_pan_can_atlas_2018	TCGA-05-4410-01	-0.028	-0.244	-0.099	0.618
luad_tcga_pan_can_atlas_2018	TCGA-05-4415-01	0.854	-0.665	-0.217	2.27
luad_tcga_pan_can_atlas_2018	TCGA-05-4417-01	0.568	-0.13	-0.202	0.357
luad_tcga_pan_can_atlas_2018	TCGA-05-4418-01	0.404	0.148	0.088	0.113
luad_tcga_pan_can_atlas_2018	TCGA-05-4420-01	0.368	-0.46	0.535	0.912
luad_tcga_pan_can_atlas_2018	TCGA-05-4422-01	0.012	0.073	-0.051	-0.017
luad_tcga_pan_can_atlas_2018	TCGA-05-4424-01	0.095	-0.042	-0.042	-0.077
luad_tcga_pan_can_atlas_2018	TCGA-05-4425-01	-0.002	-0.656	-0.024	0.018
luad_tcga_pan_can_atlas_2018	TCGA-05-4426-01	-0.125	-0.668	-0.001	-0.001
luad_tcga_pan_can_atlas_2018	TCGA-05-4427-01	0.029	-0.493	-0.063	-0.232
luad_tcga_pan_can_atlas_2018	TCGA-05-4430-01	0.056	-0.226	0.137	0.097
luad_tcga_pan_can_atlas_2018	TCGA-05-4432-01	0.391	0.241	0.413	0.025
luad_tcga_pan_can_atlas_2018	TCGA-05-4433-01	1.08	-0.541	0.008	-0.011
luad_tcga_pan_can_atlas_2018	TCGA-05-4434-01	0.206	0.027	-0.014	0
luad_tcga_pan_can_atlas_2018	TCGA-05-5423-01	0.003	-0.038	0.978	0.575
luad_tcga_pan_can_atlas_2018	TCGA-05-5425-01	-0.062	-0.143	0.715	0.476
luad_tcga_pan_can_atlas_2018	TCGA-05-5428-01	0.192	-0.432	0.574	0.516
luad_tcga_pan_can_atlas_2018	TCGA-05-5429-01	-0.003	-0.336	-0.008	0.021
luad_tcga_pan_can_atlas_2018	TCGA-05-5715-01	0.001	-0.067	0.089	0.018
luad_tcga_pan_can_atlas_2018	TCGA-35-3615-01	-0.01	-0.01	-0.003	0.017
luad_tcga_pan_can_atlas_2018	TCGA-35-4122-01	0.101	-0.234	0.075	-0.052
luad_tcga_pan_can_atlas_2018	TCGA-35-4123-01	0.024	-0.337	0.036	0.28
