STUDY_ID	SAMPLE_ID	TP53	EGFR	KRAS	AURKA
luad_tcga_pan_can_atlas_2018	TCGA-05-4244-01	-0.7015	0.9165	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4249-01	-0.7564	0.0732	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4250-01	-1.6449	-0.7718	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4382-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4384-01	-0.7077	-0.6816	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4389-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4390-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4395-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4396-01	-0.5532	-0.0781	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4397-01	-0.5623	-1.426	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4398-01	-0.2494	1.2059	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4402-01	-0.8805	1.0018	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4403-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4405-01	1.6342	0.6624	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4410-01	1.1713	0.9496	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4415-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4417-01	-0.606	0.4025	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4418-01	-0.1892	-0.2668	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4420-01	-0.0038	-0.2226	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4422-01	-0.479	-1.1836	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4424-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4425-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4426-01	-0.8912	-0.0634	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4427-01	1.7495	-0.2318	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4430-01	-0.2537	-0.7066	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4432-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4433-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-4434-01	-0.602	0.1147	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-5423-01	0.0617	1.521	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-5425-01	-0.9139	-0.3964	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-5428-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-5429-01	-1.4276	-0.3389	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-05-5715-01	1.4681	0.5563	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-35-3615-01	-0.3213	-0.9953	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-35-4122-01	-0.0078	-0.2519	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-35-4123-01	0.148	2.1652	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-35-5375-01	1.1016	-0.6879	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-38-4625-01	0.9632	-0.2324	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-38-4626-01	-0.7672	-0.2256	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-38-4627-01	-0.1424	-0.3554	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-38-4628-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-38-4631-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-38-4632-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-38-6178-01	0.9145	2.408	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-38-7271-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-38-A44F-01	0.2813	0.1378	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-2655-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-2656-01	-0.4058	0.0563	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-2657-01	0.3104	-0.2368	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-2659-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-2662-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-2665-01	0.022	-0.0899	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-2666-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-2668-01	-0.1342	-0.5518	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-3396-01	-0.5061	-0.3854	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-3398-01	-1.5501	-0.0231	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-3917-01	0.6983	0.2874	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-3918-01	-0.3232	-0.7693	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-3919-01	-0.2099	-0.4397	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-4112-01	-0.0204	1.2136	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-5643-01	0.3165	-0.3434	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-5644-01	0.9505	1.0726	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-5645-01	-0.2216	-0.1714	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-6144-01	0.1089	-1.9267	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-6145-01	-0.2117	-0.9954	NA	NA
