STUDY_ID	SAMPLE_ID	TP53	EGFR	KRAS	AURKA
luad_tcga_pan_can_atlas_2018	TCGA-05-4244-01	0.1371	0.8652	0.6047	0.0005
luad_tcga_pan_can_atlas_2018	TCGA-05-4249-01	1.1503	0.5054	2.3487	-0.6558
luad_tcga_pan_can_atlas_2018	TCGA-05-4250-01	-2.189	-0.1804	2.3946	1.925
luad_tcga_pan_can_atlas_2018	TCGA-05-4382-01	0.123	-0.4061	0.1888	-0.1664
luad_tcga_pan_can_atlas_2018	TCGA-05-4384-01	0.7751	-0.4767	-0.1884	-1.2438
luad_tcga_pan_can_atlas_2018	TCGA-05-4389-01	0.2045	-1.1105	-0.1403	0.4621
luad_tcga_pan_can_atlas_2018	TCGA-05-4390-01	0.1875	0.548	0.8451	0.5988
luad_tcga_pan_can_atlas_2018	TCGA-05-4395-01	-0.0319	1.4052	1.5036	0.4197
luad_tcga_pan_can_atlas_2018	TCGA-05-4396-01	-2.3446	0.1796	1.5386	-0.7654
luad_tcga_pan_can_atlas_2018	TCGA-05-4397-01	-1.3342	-1.1224	-0.8716	2.6235
luad_tcga_pan_can_atlas_2018	TCGA-05-4398-01	0.1871	1.238	-0.3572	0.1626
luad_tcga_pan_can_atlas_2018	TCGA-05-4402-01	-2.0065	1.3504	0.0092	-0.4766
luad_tcga_pan_can_atlas_2018	TCGA-05-4403-01	0.5602	-0.6873	-0.1623	-0.9798
luad_tcga_pan_can_atlas_2018	TCGA-05-4405-01	1.7066	1.0176	-0.4935	-1.5645
luad_tcga_pan_can_atlas_2018	TCGA-05-4410-01	0.5693	1.6688	-0.4198	-0.6571
luad_tcga_pan_can_atlas_2018	TCGA-05-4415-01	-3.0072	1.9193	1.5368	1.7167
luad_tcga_pan_can_atlas_2018	TCGA-05-4417-01	0.1162	0.1862	1.5718	-0.4379
luad_tcga_pan_can_atlas_2018	TCGA-05-4418-01	-0.2265	-0.4174	-0.1613	1.1246
luad_tcga_pan_can_atlas_2018	TCGA-05-4420-01	-0.0597	-0.4986	-0.0015	1.4573
luad_tcga_pan_can_atlas_2018	TCGA-05-4422-01	1.6095	-0.6477	-0.1038	1.593
luad_tcga_pan_can_atlas_2018	TCGA-05-4424-01	1.0246	-0.3359	1.185	-0.0381
luad_tcga_pan_can_atlas_2018	TCGA-05-4425-01	-0.0837	0.0565	0.491	-0.1697
luad_tcga_pan_can_atlas_2018	TCGA-05-4426-01	-0.355	0.3978	-1.9507	-0.7894
luad_tcga_pan_can_atlas_2018	TCGA-05-4427-01	0.4422	0.4757	1.4159	0.2049
luad_tcga_pan_can_atlas_2018	TCGA-05-4430-01	0.5078	-0.3993	0.4783	-0.2024
luad_tcga_pan_can_atlas_2018	TCGA-05-4432-01	0.7587	0.3013	-0.0744	0.6496
luad_tcga_pan_can_atlas_2018	TCGA-05-4433-01	-1.4861	-0.1465	1.5912	-0.1776
luad_tcga_pan_can_atlas_2018	TCGA-05-4434-01	1.1887	0.1342	-0.1221	0.5418
luad_tcga_pan_can_atlas_2018	TCGA-05-5423-01	0.4271	0.3451	-0.3343	0.8631
luad_tcga_pan_can_atlas_2018	TCGA-05-5425-01	-1.9166	0.0339	-0.6801	1.3716
luad_tcga_pan_can_atlas_2018	TCGA-05-5428-01	-0.0517	-0.8817	-0.0432	0.6135
luad_tcga_pan_can_atlas_2018	TCGA-05-5429-01	-0.1767	-0.7324	-0.5644	0.0407
luad_tcga_pan_can_atlas_2018	TCGA-05-5715-01	0.3781	-0.0751	0.2926	-0.5861
luad_tcga_pan_can_atlas_2018	TCGA-35-3615-01	1.2209	-1.2955	-0.3725	-1.5478
luad_tcga_pan_can_atlas_2018	TCGA-35-4122-01	-0.8653	-1.4488	0.0556	0.9709
luad_tcga_pan_can_atlas_2018	TCGA-35-4123-01	-1.6931	0.1431	-0.2191	0.9523
luad_tcga_pan_can_atlas_2018	TCGA-35-5375-01	0.8063	-1.8452	-1.5687	1.0054
luad_tcga_pan_can_atlas_2018	TCGA-38-4625-01	0.925	0.012	-0.2889	1.7059
luad_tcga_pan_can_atlas_2018	TCGA-38-4626-01	-0.3045	-0.1282	-0.5086	-0.7768
luad_tcga_pan_can_atlas_2018	TCGA-38-4627-01	0.218	0.0299	-0.4623	-0.9126
luad_tcga_pan_can_atlas_2018	TCGA-38-4628-01	1.0562	0.5745	-0.4047	-0.182
luad_tcga_pan_can_atlas_2018	TCGA-38-4631-01	-4.2122	-1.5926	0.1449	1.7445
luad_tcga_pan_can_atlas_2018	TCGA-38-4632-01	-0.835	0.0201	-1.0673	1.3323
luad_tcga_pan_can_atlas_2018	TCGA-38-6178-01	0.8023	2.5882	-0.4374	-0.9578
luad_tcga_pan_can_atlas_2018	TCGA-38-7271-01	0.7215	-0.1383	-0.3264	-1.0835
luad_tcga_pan_can_atlas_2018	TCGA-38-A44F-01	-0.0567	-1.0949	-0.5438	-1.4928
luad_tcga_pan_can_atlas_2018	TCGA-44-2655-01	1.3311	-0.9189	-1.0775	-1.1436
luad_tcga_pan_can_atlas_2018	TCGA-44-2656-01	-1.2055	0.9088	-0.5848	-0.0204
luad_tcga_pan_can_atlas_2018	TCGA-44-2657-01	-0.749	0.3451	0.1985	-0.2157
luad_tcga_pan_can_atlas_2018	TCGA-44-2659-01	-0.3484	1.8676	-0.3419	-1.0773
luad_tcga_pan_can_atlas_2018	TCGA-44-2662-01	-0.0322	0.3182	-0.4578	0.986
luad_tcga_pan_can_atlas_2018	TCGA-44-2665-01	0.5585	-0.2031	-0.3598	-1.1056
luad_tcga_pan_can_atlas_2018	TCGA-44-2666-01	1.0485	0.0231	-1.3304	-0.9373
luad_tcga_pan_can_atlas_2018	TCGA-44-2668-01	-1.9294	1.0802	0.4359	1.0064
luad_tcga_pan_can_atlas_2018	TCGA-44-3396-01	0.6325	-0.2031	-1.0406	-0.034
luad_tcga_pan_can_atlas_2018	TCGA-44-3398-01	-0.005	-1.0927	0.4698	-0.5676
luad_tcga_pan_can_atlas_2018	TCGA-44-3917-01	NA	NA	NA	NA
